eye_am_pyth0n@mac108:~$ ./mac108-project/term_monitor.py                               WARNING: 2.57.122.238 has 2 failed attempt(s), 0 accepted                              WARNING: 2.57.122.238 has 3 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 6 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 7 failed attempt(s), 0 accepted
WARNING: 47.97.56.233 has 8 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 65 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 66 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 67 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 68 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 69 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 70 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 71 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 72 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 73 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 74 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 75 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 76 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 77 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 78 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 79 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 80 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 81 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 82 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 83 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 84 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 85 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 86 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 87 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 88 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 89 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 90 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 91 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 92 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 93 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 94 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 95 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 96 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 97 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 98 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 99 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 100 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 101 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 102 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 103 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 104 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 105 failed attempt(s), 0 accepted
WARNING: 45.148.10.151 has 2 failed attempt(s), 0 accepted
WARNING: 45.148.10.151 has 3 failed attempt(s), 0 accepted
WARNING: 45.148.10.151 has 4 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 106 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 107 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 2 failed attempt(s), 0 accepted
WARNING: 45.148.10.147 has 3 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 108 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 109 failed attempt(s), 0 accepted
WARNING: 2.57.122.192 has 2 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 110 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 111 failed attempt(s), 0 accepted
WARNING: 92.118.39.23 has 2 failed attempt(s), 0 accepted
WARNING: 92.118.39.23 has 3 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 112 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 113 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 2 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 3 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 114 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 115 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 4 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 5 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 6 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 7 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 116 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 117 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 8 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 9 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 10 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 11 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 118 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 119 failed attempt(s), 0 accepted
WARNING: 2.57.122.196 has 2 failed attempt(s), 0 accepted
WARNING: 2.57.122.196 has 3 failed attempt(s), 0 accepted
WARNING: 2.57.122.196 has 4 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 120 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 12 failed attempt(s), 0 accepted
WARNING: 45.148.10.152 has 13 failed attempt(s), 0 accepted
