TenantId,SourceSystem,"TimeGenerated [UTC]",MG,Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,CollectorHostName,Type,"_ResourceId"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:09:00.017 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:09:00.000 PM",daemon,mac108,info,"2026-04-18T18:09:00.016#011Info#011TID:126426070834112#011MetricsExtensionService#011MainLoop#011MetricsExtensionService.cpp(1126)#011Interning cache state. NextClearTimeUtc: 2026-04-18T18:13:35.782, VolatileCurrentSize: 3, VolatileCurrentSizeInBytes: 396, VolatileSecondarySize: 0, VolatileSecondarySizeInBytes: 0, StaticCacheSize: 47, StaticCacheSizeInBytes: 6116",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:09:05.838 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:09:05.000 PM",daemon,mac108,info,"2026-04-18T18:09:05.837#011Info#011TID:126426070834112#011MetricsExtensionService#011MainLoop#011MetricsExtensionService.cpp(1268)#011Diagnostic heartbeat emitted. CurrentRawDataQueueSize: 0, UptimeSec: 330, EtwEventsDropped: 0, EtwEventsLost: 0, AggregatedMetricsDropped: 0, IsNearingEtwQueueLimit: 0, IsNearingAggregationQueueLimit: 0, IsShuttingDown: false",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:09:35.817 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:09:35.000 PM",daemon,mac108,info,"2026-04-18T18:09:05.838#011HeartbeatSignal#011Mark",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:09:35.847 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:09:35.000 PM",daemon,mac108,info,"2026-04-18T18:09:35.846#011Info#011TID:126426070834112#011MetricsExtensionService#011MainLoop#011MetricsExtensionService.cpp(1268)#011Diagnostic heartbeat emitted. CurrentRawDataQueueSize: 0, UptimeSec: 360, EtwEventsDropped: 0, EtwEventsLost: 0, AggregatedMetricsDropped: 0, IsNearingEtwQueueLimit: 0, IsNearingAggregationQueueLimit: 0, IsShuttingDown: false",14315,"10.0.0.4",MetricsExtension,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:13:45.573 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:13:45.000 PM",authpriv,mac108,notice,"pam_unix(sshd:auth): authentication failure  logname= uid=0 euid=0 tty=ssh ruser= rhost=45.148.10.157  user=root",14748,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:13:01.661 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:13:01.000 PM",auth,mac108,info,"Connection closed by invalid user user 95.105.28.117 port 40544 [preauth]",14707,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:13:47.462 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:13:47.000 PM",auth,mac108,info,"Failed password for root from 45.148.10.157 port 28426 ssh2",14748,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.872 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:00.000 PM",authpriv,mac108,notice,"PAM 4 more authentication failures  logname= uid=0 euid=0 tty=ssh ruser= rhost=45.148.10.157  user=root",14748,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:00.872 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:00.000 PM",authpriv,mac108,notice,"PAM service(sshd) ignoring max retries  5 > 3",14748,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
"12428736-32d3-4419-b5a9-cfee9c6604c2",Linux,"4/18/2026, 6:14:17.884 PM","00000000-0000-0000-0000-000000000002",mac108,"4/18/2026, 6:14:17.000 PM",authpriv,mac108,notice,"pam_unix(sshd:auth): authentication failure  logname= uid=0 euid=0 tty=ssh ruser= rhost=95.105.28.117  user=root",14743,"10.0.0.4",sshd,,Syslog,"/subscriptions/127ecc1b-124f-4944-b1e0-085cff4b9269/resourcegroups/mac108_group/providers/microsoft.compute/virtualmachines/mac108"
